1,00:00:00.00,00:00:02.25,%ignore%,
2,00:00:02.25,00:00:03.72,%ignore%,
3,00:00:03.72,00:00:13.16,སྔོན་མ་ སྔོན་མ་ པུ་གུ་ ཆུང་ཆུང་ ཞིག་ ཡོད་རེད་ད །  འོ་ དེ་ ཐག་པ་ཡི་ རྩེད་མོ་ རྩེ་ཡ་ དང་ དེ་ཚོ་ དགའ་བོ་ དཔེ་ ཡོད་རེད་ད །  རྨོ་མོ་ ཞིག་ ཡོད་རེད་ད་ ར །  འོང་ དེ་ ཡོད་ར ་་་ །   ,"Once upon a time, there was a child. He loves to play with strings. And there was grandma, "
4,00:00:13.16,00:00:19.19,ཐག་ འོ་ དེའི་ ཐག་པ་ དམར་བོ་ ཡོད་རེད་ འ ་་་ །  ཨོ ་་་ སོ་སོ་ པུ་གུ་ ཆུང་བ་ དེ་ཡི་ ཆེད་དུ་ ཡོད་ར ་་་ །   ,"... and the string is red. Oh, she had been making "
5,00:00:19.19,00:00:23.68,ཅ་ལག་ དང་ ཨེ་འདྲ་ ཟོས་ སྡད་ ཡོད་རེད །  ཨ་ནི་ ཉིན་མ་ གཅིག་ ཞི་མི་ གཅིག་ ཡོད་ར ། ,some things for her youngest child. One day a cat saw a yarn which was used by grandma. 
6,00:00:23.68,00:00:30.52,འདི་ ཐག་པ་ མཐོང་ ར །  ཐག་པ་ རྨོ་མོ་ དེ་ བྱེད་ གྱོག་ མཐོང་ ར །   འོ་ དེ་ ལ་ ལད་ཟློས་ བྱེད་ དགོས་ བསམ་ ནས་ ཡོད་ར །  ཐག་པ་ཡི་ རྩེད་མོ་ རྩེ་ཡ་ འགོ་བཙུགས་ རེད་ད ། ,So the cat was thinking  to imitate what the grandma was doing. 
7,00:00:30.52,00:00:36.59,ཨ་ནི་ དེ་ རྗེས་ པུ་གུ་ དེ་ཚོའི་ ཞི་མི་ དེ་ ལ་ ལྟ་ ནས་ འགོ་ ནས་ ཐག་པ་ཡི་ རྩེད ་་་ འདི་ ཁང་པ་ ཨེ་འདྲ་ བཟོས་ཡ་ དང་ ,While he starts to play string. Kids looked at the cat and again played strings.
8,00:00:36.59,00:00:43.06,དབྱིབས་ ཨེ་འདྲ་ བཟོས་ཡ་ དང་ ཨེ་འདྲེ་ འགོ་བཙུགས་ རེད་ད ། ཨ་ནི་ དེ་ རྗེས་ པུ་གུ་ དེ་ཚོས་ བསམ་བློ་ཡ་ རྒྱས་ འགྲོ་ ནས་ ཡོད་ར ་་་ ,"They made various shapes like houses etc.Somehow, kids' thinking power developed "
9,00:00:43.06,00:00:51.55,སྒང་ཕུག་ གནམ་ ལ་ འཕུར་ དུས་སྐབས །  ཨ་ནི་ ཐག་པ་ཡི་ བསྡམས་ ནས་ འཁྱེར་ འགྲོ་ཡ་ དང་ །  ཨ་ནི་ ཉིན་མ་ གཅིག་ ག་རེ་ ཁོང་ཚོ་ འ་ཅིག་ འདུག་ག  ཨ་ནི །,"and they used string to tie balloons. And when it flew away. And one day, they... "
10,00:00:51.55,00:01:00.19, ཨ་ཞང་ གཅིག་ ཡོད་ ར་ མིག་ཤེལ་ གྱོན་གྱི་ ཡོདརེད་ད་ ར་ ་་་ ཨ་ནི་ འོ་ དེ་ མིག་ཤེལ་ ཐེངས་མ་ མང་པོ་ དཔེ་ ཟགས་ ཟགས་འི་ ཡོད་རེད་ད་ ར །  མར་ གུག་ གུག་ བྱེད་ དུས་སྐབས་ ལ །  ཨ་ནི་ འོ་ བྱེད་ ནས་ ཁོང་ཚོས་ བསམ་བློ་ ཡག་པོ་ ཅིག་བཏང་ ནས་ ,"One day their uncle, who wears spectacles and that spectacles fall again and again especially when he bends. "
11,00:01:00.19,00:01:05.35,མིག་ཤེལ་ ཐག་པས་ བསྡམས་ རེད་ད །  ཨ་ནི་ ཨ་ཁུ་ དེ་ ལ་ སྤྲད་ རེད །  ཨ་ནི་ ཨ་ཁུ་ དེ་ དགའ་ དག་ ཆོས་ རེད །  ,"So, they thought and tied spectacles by string and gave it to their uncle. Then uncle was very happy. "
12,00:01:05.35,00:01:08.69,ཨ་ནི་ དེ་ རྗེས་ ཁོང་ཚོས་ ??? ཉིན་མ་ གཅིག་ སྐྱེ་སྐར་ ཡིན་ དུས་སྐབས །  ཨ་ནི །  ,One day it was their youngest sibling’s birthday. 
13,00:01:08.69,00:01:12.07,སོ་སོའི་ སྤུན་སྐྱ་ ཆུང་ང་ཡི་ ཆེད་དུ་ ལག་རྟགས་ བཟོས་ རེད་ད་ ར །  ,"So, they prepared a gift. "
