1,00:00:00.00,00:00:02.80,སྔོན་མ་ སྔོན་མ་ ཡོ་བ་ ཕུག་རོན་ ཞིག་ ཡོད་རེད་ད ། ཨ་ནི་ ,"once upon a time, there was a pigeon. and..."
2,00:00:02.80,00:00:05.12,འོ་ འདི་ ཡོ་བ་ ཤིང་ འབྲས་ ཨ་མ་གི་ ཡོ་བ་ ,"oh, this fruit was mama's... "
3,00:00:05.12,00:00:07.27,ཤིང་སྡོང་ ཤིང་སྡོང་ གཅིག་ ལ་ བསྡད་ཀྱི་ ཡོད་རེད་ད །  ཨ་ནི་ ཁོ་ ལ་ ,"the tree, they lived in a tree. and she had"
4,00:00:07.27,00:00:09.11,པུ་གུ་ གསུམ་ ཡོད་རེད་ད་ ར ། ཨ་ནི་ ,three babies. and..
5,00:00:09.11,00:00:11.00,པུ་གུ་ གསུམ་ ལ་ ཨ་ནི་ ཁོ་ ཁ་ལག་ འཚལ་ག་ ,"for the three babies, she went to look for some food"
6,00:00:11.00,00:00:12.53,འགྲོ་ རེད་འདའ་ ར ། ཨ་ནི་ ཕུག་རོན་ ,"she went, right? and the pigeon"
7,00:00:12.53,00:00:14.27,འདི་ ཉིན་ གཅིག་ ཡོ་བ་ ཕུར་ ནས་ ཡ་,one day flew
8,00:00:14.27,00:00:15.45,འགྲོ་ རེད །  ཁ་ལག་ འཚལ་ག་ འགྲོ་ རེད་ ,she went to search for food
9,00:00:15.45,00:00:16.88,སོ་སོའི་ པུ་གུ་ ཆེད་དུ་ ར ། ,for each of the babies
10,00:00:16.88,00:00:18.15,ཨ་ནི་ འོ་ དེ་དུས་ སྐབས་ལ་ ,"and, then, at that time"
11,00:00:18.15,00:00:19.85,བུ་མོ་ གཅིག་ དང་ ཁྱི་ གཅིག་ ཡོ་བ་ ཤིང་སྡོང་ འདིའི་ ,"there was a girl and a dog, (next to) this tree"
12,00:00:19.85,00:00:21.98,འགྲམ་ལ་ བསྡད་ བསྡད་ རེད་ད །  ཨ་ནི་ ག་ལེ་ ག་ལེ་ ,"they were next to (this tree). and, slowly, "
13,00:00:21.98,00:00:23.15,ཤིང་སྡོང་ འདི་ འགྲམ་ལ་ ལམ་ཁ་ ,there was a path next to this tree
14,00:00:23.15,00:00:25.36,བཟོས་ འདྲ་བོ་ བྱས་ རེད་ད ། ཨ་ནི་ དེ་ མ་ ནས་ ཉ་ ཙོང་,"like (a path) they made. and down from that, selling fish"
15,00:00:25.36,00:00:26.72,ཉ་ ཙོང་ཉན་ ག་ཅི་ ཨ་ཅག་ ,"fish seller, an older girl"
16,00:00:26.72,00:00:28.18,ཡོ་བ་ ,there was
17,00:00:28.18,00:00:29.45,ཉ་ ཙོང་ བསྡད་ ཡོད་རེད་ད །  ཨ་ནི་ ,selling fish. and... 
18,00:00:29.45,00:00:31.24, ཕུག་རོན་གྱི་ ཉ་ མཐོང་མ་ ་་་ ,the pigeon saw the fish
19,00:00:31.24,00:00:33.43,ཉ་ མཐོང་མ་ ཐག་ ཡོད་བ་ ཨ་ནི་ ཉ་ འདི་ ,"(she) saw the fish, and, that fish"
20,00:00:33.43,00:00:34.31,ཉ་ འདི་ ཡོ་(བ་) ,this fish was
21,00:00:34.31,00:00:36.15,གཅིག་ ལེན་ ར་ ཨ་ནི་ ཕུར་ འགྲོ་ རེད་ད ། ,"taken, right? and then (she) flew away"
22,00:00:36.15,00:00:37.53,ཨན་ རྗེས་ལ་ མཉམ་དུ་ ,"and later, together,"
23,00:00:37.53,00:00:39.29,མཉམ་དུ་ share བྱས་ ནས་ ཟ་ རེད་ད །  ཨ་ནི་ རྗེས་ལ་ ཡང་ ,"together they shared, and ate it. and later, also,"
24,00:00:39.29,00:00:41.07,སྤོ་སྤོ་ གཅིག་ ཨ་ནི་ སྤོ་སྤོ་ ,"there was a grandpa, and, grandpa"
25,00:00:41.07,00:00:42.93,འདི་  ་་་  སྤོ་སྤོ་ འདིས་ པེ་ཤ་ ,this... ah... this grandpa (gave) money
26,00:00:42.93,00:00:43.92,སྤྲས་ ནས་ ཉོ་ ཡིན་ས་ ར །  ཨ་ནི་ ,"gave (it) to by (something), right? and"
27,00:00:43.92,00:00:45.74,སྤོ་སྤོ་ འདི་ ཁོང་ཁྲོ་ ཟ་ ར་ ཨ་ནི་ སྤོ་སྤོ་ ,"this grandpa got mad, right? and grandpa"
28,00:00:45.74,00:00:47.15,འདི་ ཡོ་བ་ ཕུག་རོན་ ལ་ ཞུ་ག་ ,"this, to the pigeon,"
29,00:00:47.15,00:00:48.96,འགྲོ་ དུས་ སྐབས་ལ་ ཨ་ནི་ ཕུག་རོན་གྱི་ ཁོས་ ,"when he went, and, the pigeon, he"
30,00:00:48.96,00:00:50.15,ཁོ་ ཁོས་ ,"he, he"
31,00:00:50.15,00:00:51.35,སྟོད་ མཐུང་ ལ་ ,his shirt
32,00:00:51.35,00:00:52.85,བྱི་ སྐྱག་ ཅིག་ བཏང་ ར་ ཨ་ནི་ ,"??? and, right? ... "
33,00:00:52.85,00:00:54.35,མ་ ནས་ སྤོ་སྤོ་ དེ་ ལས་ མང་ང་ ,"and down from that, that grandpa, got more and more"
34,00:00:54.35,00:00:55.85,ཁོང་ཁྲོ་ ཟ་ ར ། ཨ་ནི་ ཁོ་ ,"angry, right? and he"
35,00:00:55.85,00:00:57.29,ཁོ་ འཁར་རྒྱུག་གི་ ,"he, his stick"
36,00:00:57.29,00:00:58.82,ཞུ་ག་ འགྲོ་ རེད ། ཨ་ནི་ འདི་ ནས་ མར་ རྗེས་ལ་ ,"went, and, then, after that,"
37,00:00:58.82,00:00:59.85,སྤོ་སྤོ་ འདི་ དཀའ་ལས་ཁ་ནས་ ནང་ལོགས་ ,this grandpa went home with difficulty
38,00:00:59.85,00:01:00.95,དུས་ སྐབས་ལ་ ར་ ཨ་ནི་ ,"that time, right, and,"
39,00:01:00.95,00:01:02.04,ཕུག་རོན་ འདི་ འདུ་སི་ བྱས་ ནས་ ,"this pigeon, just like that,"
40,00:01:02.04,00:01:03.05,བསྡད་ བསྡད་ རེད་ད་ ར ། ཨ་ནི་ ,"was sitting there, right? and"
41,00:01:03.05,00:01:04.91,ཁྱི་ གཅིག་གི་ ཡོ་བ་ ཁོ་ མ་ ཟ་་་,"there was a dog, right, he didn't eat"
42,00:01:04.91,00:01:05.98,ཁོ་ ཟ་ཡ་ ལ་ འགུག་,he was waiting to eat
43,00:01:05.98,00:01:07.58,བསྡད་ རེད །,(waiting)
